#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
10030104001,م إبتدائية باب الجابلي - تبرسق  مكتب 1,1,0,1,1,1,0,149,23,1,1,3,0,4,0,0,0,1,1,0,1,4,1,0,74,0,4,29,300.0
10030104002,م إبتدائية باب الجابلي - تبرسق  مكتب 2,1,0,2,1,0,0,145,40,1,0,1,0,2,0,0,2,0,0,0,0,1,0,2,95,0,9,29,331.0
10030104003,م إبتدائية باب الجابلي - تبرسق  مكتب 3,0,0,3,0,0,0,80,30,0,0,2,0,1,1,0,0,0,0,0,0,1,1,0,71,0,2,22,214.0
10030104101,م إبتدائية طريق تونس تبرسق  مكتب 1,1,0,1,1,2,1,215,12,3,1,5,2,3,2,1,2,1,3,1,0,2,1,2,55,0,7,40,364.0
10030104102,م إبتدائية طريق تونس تبرسق  مكتب 2,0,0,2,2,1,0,188,21,0,0,1,0,0,2,1,2,0,0,0,0,4,0,0,102,2,10,55,393.0
10030104103,م إبتدائية طريق تونس تبرسق  مكتب 3,0,0,0,1,1,0,145,18,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,91,1,8,66,336.0
10030104104,م إبتدائية طريق تونس تبرسق  مكتب 4,0,0,5,1,0,1,86,33,0,0,3,0,2,0,0,0,1,0,0,0,0,0,2,77,1,9,54,275.0
10030104201,م إبتدائية المنشية - تبرسق  مكتب 1,4,1,1,2,2,0,124,14,1,0,1,1,4,0,1,1,2,3,1,0,4,0,2,58,0,8,21,256.0
10030104202,م إبتدائية المنشية - تبرسق  مكتب 2,0,0,1,0,0,2,111,15,1,0,1,0,2,0,0,1,1,1,0,0,1,0,0,105,0,11,37,290.0
10030104203,م إبتدائية المنشية - تبرسق  مكتب 3,0,0,0,0,0,1,67,20,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,81,0,11,23,208.0
10030104301,م إبتدائية حي النسيم - تبرسق  مكتب 1,2,0,1,3,1,3,152,20,0,0,4,1,3,0,1,2,0,1,1,0,5,1,0,96,1,12,33,343.0
10030104302,م إبتدائية حي النسيم - تبرسق  مكتب 2,0,0,1,1,1,0,86,28,0,1,1,0,3,0,1,0,1,1,0,0,2,0,0,123,0,4,34,288.0
10030204401,م إبتدائية دقة الجديدة -  دقة   مكتب 1,1,0,0,3,0,1,98,4,3,1,3,0,2,0,1,3,1,0,3,0,5,1,1,36,0,7,54,228.0
10030204402,م إبتدائية دقة الجديدة -  دقة   مكتب 2,0,0,1,0,2,0,78,9,0,1,1,1,1,0,0,1,0,0,0,0,1,0,2,62,0,3,84,247.0
10030204403,م إبتدائية دقة الجديدة -  دقة   مكتب 3,0,0,0,1,0,0,45,11,0,0,1,0,2,1,0,0,0,1,0,0,1,1,2,34,0,8,58,166.0
10030304501,م إبتدائية ريحانة   مكتب 1,0,0,0,1,0,1,75,8,0,1,3,0,4,0,0,0,0,2,0,0,1,0,0,21,0,7,6,130.0
10030404601,م إبتدائية عين مليتي  مكتب 1,2,0,0,2,0,2,36,8,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,24,0,5,11,95.0
10030404701,م إبتدائية أولاد مرعي - عين المليتي  مكتب 1,1,2,0,3,0,0,50,1,0,0,0,1,1,0,0,0,0,1,2,0,2,1,0,12,0,0,0,77.0
10030404801,م إبتدائية العياضي - عين المليتي  مكتب 1,1,0,0,1,0,0,86,11,1,1,1,0,3,0,1,1,0,2,0,1,5,0,0,22,0,3,9,149.0
10030504901,م إبتدائية عين بن شبل - فدان السوق  مكتب 1,2,0,1,4,0,0,89,7,0,0,1,1,3,2,1,2,0,1,1,1,1,1,1,17,2,11,29,178.0
10030605001,م إبتدائية عش الحمام - عين الحمام  مكتب 1,0,0,0,1,0,0,53,0,0,0,3,0,0,0,0,1,0,0,0,0,2,0,0,2,1,0,7,70.0
10030705101,م إبتدائية عين جمالة  مكتب 1,1,0,4,0,0,1,90,12,0,0,2,1,1,0,0,0,0,0,0,1,1,0,0,14,0,9,7,144.0
10030805201,م إبتدائية بئر التوتة  مكتب 1,1,0,0,1,1,0,63,1,1,1,4,0,1,1,0,3,1,0,0,0,5,0,0,16,1,10,6,117.0
مجموع أصوات القائمة,18,3,24,30,12,13,2311,346,13,9,45,8,42,10,8,24,11,17,9,4,50,8,15,1288,9,158,714,5199,
