circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Kasserine,ElAyoun,15020100601,م إبتدائية النور العيون  مكتب 1,1,0,2,3,1,4,61,4,1,0,6,1,2,1,1,2,2,0,1,2,2,1,37,28,0,29,66,258
Kasserine,ElAyoun,15020100602,م إبتدائية النور العيون  مكتب 2,0,0,1,1,1,1,44,3,0,0,4,0,4,0,1,1,0,2,2,0,0,0,20,38,0,30,73,226
Kasserine,ElAyoun,15020100603,م إبتدائية النور العيون  مكتب 3,0,0,0,0,0,0,18,12,0,0,0,0,0,0,1,0,0,3,0,0,1,0,13,28,0,24,35,135
Kasserine,ElAyoun,15020100701,م إبتدائية جوى بن غذاهم - العيون  مكتب 1,0,0,1,0,0,1,9,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,1,0,15,33
Kasserine,ElAyoun,15020100801,م إبتدائية أفرينة - العيون  مكتب 1,0,0,0,0,1,1,8,3,0,2,0,0,1,0,0,0,0,1,0,0,0,0,5,28,0,7,3,60
Kasserine,ElAyoun,15020200901,م إبتدائية القرين  مكتب 1,0,0,2,0,0,1,10,6,0,1,1,0,1,1,0,0,0,29,0,0,0,1,14,63,0,47,10,187
Kasserine,ElAyoun,15020201001,م إبتدائية الشوابيـة - القرين  مكتب 1,0,0,0,0,4,1,8,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,47,5,1,19,3,93
Kasserine,ElAyoun,15020201101,م إبتدائية هنشير البقر - القرين  مكتب 1,0,0,0,1,1,3,21,2,1,0,0,1,0,0,0,1,0,0,0,0,0,1,11,36,0,46,7,132
Kasserine,ElAyoun,15020201201,م إبتدائية التوايتية العيون - القرين  مكتب 1,0,0,0,0,3,0,10,1,1,0,2,0,1,2,0,0,0,25,2,0,0,1,10,18,0,28,3,107
Kasserine,ElAyoun,15020201301,م إبتدائية الصويدات - القرين  مكتب 1,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,28,23,0,19,1,85
Kasserine,ElAyoun,15020201401,م إبتدائية طاهر بن زعرة العيون - القرين  مكتب 1,0,0,0,2,2,2,25,6,0,0,1,0,1,0,1,1,3,1,1,0,0,1,37,53,1,65,3,206
Kasserine,ElAyoun,15020301501,م إبتدائية الامتياز - البرك  مكتب 1,1,0,0,1,0,1,26,1,0,1,0,0,0,3,0,0,1,1,0,0,1,1,23,10,0,9,4,84
Kasserine,ElAyoun,15020301601,م إبتدائية وادي البرك   مكتب 1,1,0,0,0,1,0,6,3,0,0,0,0,3,1,1,0,3,4,0,0,2,0,44,26,0,58,6,159
Kasserine,ElAyoun,15020301701,م إبتدائية دوار الحاج سعد - البرك  مكتب 1,1,0,0,0,1,0,10,7,1,0,3,0,1,0,0,0,1,0,0,0,0,0,35,29,1,21,2,113
Kasserine,ElAyoun,15020401801,م إبتدائية آبار تاغوت - البواجر  مكتب 1,2,0,0,1,0,2,25,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,10,15,0,32,23,114
Kasserine,ElAyoun,15020401901,م إبتدائية البواجر   مكتب 1,1,1,0,3,0,2,30,4,1,0,6,0,1,0,1,0,0,2,0,0,4,0,13,33,0,23,26,151
Kasserine,ElAyoun,15020502001,م إبتدائية المحافظيـة - توشة  مكتب 1,0,1,0,3,1,1,14,8,2,0,0,0,2,0,1,1,0,2,0,0,0,0,8,8,1,17,7,77
Kasserine,ElAyoun,15020502101,م إبتدائية الصخيرة البيضاء - توشة  مكتب 1,0,2,2,1,1,0,31,7,2,2,5,0,3,2,0,0,0,3,0,0,1,0,18,62,1,14,23,180
Kasserine,ElAyoun,15020502201,م إبتدائية عين بوعرعـار - توشة  مكتب 1,0,0,0,0,0,3,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8,0,8,0,58
Kasserine,ElAyoun,15020502301,م إبتدائية الزوارعية - توشة  مكتب 1,2,0,2,1,3,2,26,3,1,1,0,0,1,1,0,0,0,1,2,0,1,0,14,29,1,19,2,112
Kasserine,ElAyoun,15020602401,م إبتدائية عين السلسلة   مكتب 1,1,2,0,0,1,3,20,5,0,0,1,0,1,0,0,0,0,0,1,0,2,2,14,27,0,22,13,115
