#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
15080112501,م إبتدائية  18جانفي حيدرة 1 - حيدرة  مكتب 1,1,0,3,2,2,1,165,8,5,0,1,0,2,2,0,2,0,1,0,1,4,1,8,63,0,17,80,369.0
15080112502,م إبتدائية  18جانفي حيدرة 1 - حيدرة  مكتب 2,0,0,2,1,0,0,86,5,2,0,1,0,0,0,0,0,0,1,0,0,2,0,7,86,1,11,57,262.0
15080112601,م إبتدائية حيدرة 2 - حيدرة  مكتب 1,4,1,1,0,0,3,162,2,7,2,3,1,5,0,1,0,0,1,2,1,2,1,6,59,2,13,85,364.0
15080112602,م إبتدائية حيدرة 2 - حيدرة  مكتب 2,0,1,1,0,0,0,72,7,4,0,1,0,3,1,1,0,0,0,0,0,1,0,6,99,0,10,83,290.0
15080212701,م إبتدائية طباقة   مكتب 1,1,0,0,0,0,2,78,7,1,0,2,0,4,2,0,1,0,1,0,1,0,0,1,81,1,20,17,220.0
15080212801,م إبتدائية مريرة - المكيمن  مكتب 1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,28,0,16,3,55.0
15080212901,م إبتدائية هنشير بوعنــز - الطباقة  مكتب 1,3,0,1,0,0,3,52,0,1,1,2,0,0,0,0,0,2,1,1,0,3,0,3,20,0,15,5,113.0
15080313001,م إبتدائية قرقارة - المكيمن  مكتب 1,1,0,0,0,0,0,47,1,2,1,0,0,2,0,0,0,0,1,1,0,0,0,0,13,0,4,10,83.0
15080413101,م إبتدائية الأجرد  مكتب 1,1,1,1,0,0,0,44,3,5,0,3,0,3,1,1,2,1,0,0,0,3,0,3,30,0,12,13,127.0
15080413201,م إبتدائية الهنـاشيــر - الأجرد  مكتب 1,0,0,0,0,0,1,19,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,1,28,4,84.0
15080513301,م إبتدائية عين دفلة  مكتب 1,1,2,0,0,1,0,96,6,1,0,1,0,1,0,0,1,1,1,0,0,1,0,4,131,1,5,33,287.0
مجموع أصوات القائمة,12,5,9,3,3,10,825,41,28,4,15,1,20,6,3,7,4,8,4,3,16,2,39,639,6,151,390,2254,
