circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Kasserine,Thala,15050106501,م إبتدائية تالة مهيري - تالة الشرقية  مكتب 1,0,0,1,1,0,2,86,39,6,0,3,0,1,0,0,1,1,1,0,0,2,0,17,66,0,6,21,254
Kasserine,Thala,15050106502,م إبتدائية تالة مهيري - تالة الشرقية  مكتب 2,0,0,2,0,0,0,43,43,4,0,1,0,1,0,2,0,0,0,0,0,1,1,17,60,0,4,18,197
Kasserine,Thala,15050206601,م إبتدائية الثقافة تالة - تالة الغربية  مكتب 1,2,0,5,2,2,2,151,12,8,1,5,0,2,1,0,0,1,3,1,1,7,2,17,65,1,12,32,335
Kasserine,Thala,15050206602,م إبتدائية الثقافة تالة - تالة الغربية  مكتب 2,3,0,2,1,0,3,121,13,7,3,6,0,3,1,0,1,1,2,1,0,3,2,21,79,2,9,38,322
Kasserine,Thala,15050206603,م إبتدائية الثقافة تالة - تالة الغربية  مكتب 3,0,0,3,0,0,1,101,12,10,1,3,0,4,0,0,2,1,1,0,0,2,0,18,121,0,9,72,361
Kasserine,Thala,15050206604,م إبتدائية الثقافة تالة - تالة الغربية  مكتب 4,0,0,1,1,0,0,58,17,10,0,3,0,1,0,0,0,0,0,0,0,1,0,14,137,1,8,33,285
Kasserine,Thala,15050206605,م إبتدائية الثقافة تالة - تالة الغربية  مكتب 5,0,0,1,0,0,0,50,26,7,0,3,0,0,0,1,0,1,2,0,0,1,0,11,105,0,6,15,229
Kasserine,Thala,15050206701,م إبتدائية نهج الهادي شاكر تالة - تالة الغربية  مكتب 1,1,0,3,1,2,0,162,13,8,0,8,0,4,0,1,1,2,1,3,0,1,0,31,64,0,11,39,356
Kasserine,Thala,15050206702,م إبتدائية نهج الهادي شاكر تالة - تالة الغربية  مكتب 2,0,0,0,1,0,0,91,16,6,0,3,0,0,0,0,0,1,0,0,1,0,0,14,77,0,7,35,252
Kasserine,Thala,15050206801,م إبتدائية  فلسطين - تالة الغربية  مكتب 1,0,1,0,0,0,2,122,9,3,0,2,0,1,0,1,1,0,0,1,0,7,0,11,80,0,7,35,283
Kasserine,Thala,15050206802,م إبتدائية  فلسطين - تالة الغربية  مكتب 2,1,1,2,0,0,2,102,9,2,1,4,1,1,0,0,0,0,0,0,0,2,0,15,91,0,6,48,288
Kasserine,Thala,15050206803,م إبتدائية  فلسطين - تالة الغربية  مكتب 3,0,1,1,0,0,0,58,10,1,0,0,0,1,0,0,0,0,1,1,0,1,0,8,94,0,6,27,210
Kasserine,Thala,15050206901,م إبتدائية شارع بورقيبة تالة - تالة الغربية  مكتب 1,3,0,1,0,3,3,126,14,8,3,9,0,3,2,0,2,1,5,1,1,3,1,13,93,3,7,23,328
Kasserine,Thala,15050206902,م إبتدائية شارع بورقيبة تالة - تالة الغربية  مكتب 2,2,0,2,1,0,2,137,20,6,0,12,0,1,0,1,2,0,0,0,0,4,0,20,139,0,14,54,417
Kasserine,Thala,15050206903,م إبتدائية شارع بورقيبة تالة - تالة الغربية  مكتب 3,1,0,1,1,1,1,91,27,10,0,7,0,2,0,1,2,0,0,0,0,1,0,15,126,0,7,40,334
Kasserine,Thala,15050206904,م إبتدائية شارع بورقيبة تالة - تالة الغربية  مكتب 4,0,0,1,0,0,0,76,27,7,0,4,0,0,0,0,0,0,1,0,0,0,0,13,101,0,7,33,270
Kasserine,Thala,15050307001,م إبتدائية أولاد غيدة - الدشرة  مكتب 1,1,2,0,2,0,1,114,10,2,1,1,0,0,0,0,0,0,2,1,1,1,0,5,98,0,15,46,303
Kasserine,Thala,15050307101,م إبتدائية شاكر الاحواز - الدشرة  مكتب 1,1,0,0,1,0,1,37,3,4,0,3,0,0,0,0,0,0,0,0,0,3,0,5,48,0,19,10,135
Kasserine,Thala,15050307201,م إبتدائية الحمام - الدشرة  مكتب 1,0,0,0,0,0,0,25,6,0,1,1,0,0,2,0,1,1,0,1,0,1,0,5,12,0,2,1,59
Kasserine,Thala,15050407301,م إبتدائية سيدي سهيل1 - عين الجديدة  مكتب 1,0,1,0,1,3,5,54,6,1,0,1,0,1,2,2,2,0,1,2,0,1,1,12,59,0,32,8,195
Kasserine,Thala,15050407302,م إبتدائية سيدي سهيل1 - عين الجديدة  مكتب 2,1,0,0,0,1,2,47,5,1,0,2,0,0,0,0,1,0,2,0,0,2,0,8,91,1,56,11,231
Kasserine,Thala,15050407303,م إبتدائية سيدي سهيل1 - عين الجديدة  مكتب 3,0,0,0,0,0,0,17,7,1,0,0,1,0,0,1,0,0,0,0,0,0,1,3,71,0,23,4,129
Kasserine,Thala,15050407401,م إبتدائية الزعفران تالة - عين الجديدة  مكتب 1,0,0,1,0,0,0,15,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,7,30,0,0,1,57
Kasserine,Thala,15050407501,م إبتدائية سيدي سهيل 2 - عين الجديدة  مكتب 1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,18,0,3,3,43
Kasserine,Thala,15050507601,م إبتدائية هندي الدولة - وادي الرشح  مكتب 1,1,0,0,2,0,0,46,8,1,0,3,0,3,0,0,2,0,0,0,1,0,1,7,49,1,15,11,151
Kasserine,Thala,15050607701,م إبتدائية الشار 1 - الجوى  مكتب 1,0,2,1,3,0,1,52,7,2,1,1,0,3,2,1,1,0,0,3,0,4,0,19,27,0,20,16,166
Kasserine,Thala,15050607801,م إبتدائية  14 جانفي الجوى 2  مكتب 1,1,1,0,1,1,1,53,6,4,0,3,1,1,0,0,0,1,0,1,0,2,0,2,27,1,26,9,142
Kasserine,Thala,15050707901,م إبتدائية بئر شعبان - الحماد  مكتب 1,0,2,0,0,0,5,14,3,3,0,1,1,0,0,0,0,0,1,0,0,1,0,4,6,0,23,45,109
Kasserine,Thala,15050708001,م إبتدائية السفايـة - الحماد  مكتب 1,0,0,0,0,0,1,19,0,2,0,0,0,1,1,1,0,0,0,0,0,0,1,2,7,1,6,3,45
Kasserine,Thala,15050708101,م إبتدائية الشـار 2 - الحماد  مكتب 1,0,0,0,0,0,2,37,8,1,1,1,0,2,1,0,0,0,0,0,0,1,0,4,30,0,6,3,97
Kasserine,Thala,15050808201,م إبتدائية هنشير الورغي - زلفان  مكتب 1,0,1,1,4,0,5,53,6,4,0,5,0,2,1,0,3,0,2,0,1,1,1,12,31,0,26,6,165
Kasserine,Thala,15050808202,م إبتدائية هنشير الورغي - زلفان  مكتب 2,0,0,0,0,0,1,20,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,19,0,21,1,73
Kasserine,Thala,15050808301,م إبتدائية زلفان الغربية  مكتب 1,2,2,0,3,0,0,39,4,0,0,3,1,2,0,2,0,1,2,2,0,3,0,19,144,1,28,5,263
Kasserine,Thala,15050908401,م إبتدائية جبل بولحناش   مكتب 1,0,1,1,0,1,0,15,7,0,0,1,0,0,0,1,0,0,0,1,0,1,0,17,29,0,4,3,82
Kasserine,Thala,15050908501,م إبتدائية عيون الحمر - بو الأحناش  مكتب 1,0,0,0,1,0,0,69,3,0,0,1,0,1,0,0,0,1,0,0,0,3,0,7,48,0,9,41,184
Kasserine,Thala,15051008601,م إبتدائية سيدي امحمد   مكتب 1,0,1,0,0,1,0,14,3,1,1,0,1,3,0,1,0,0,0,2,1,1,1,6,20,1,6,0,64
