#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
07040105301,م إبتدائية  2مارس 34 القصور  مكتب 1,1,2,1,4,2,1,190,26,0,2,3,1,7,0,0,1,2,3,1,2,3,0,6,95,2,4,35,394.0
07040105302,م إبتدائية  2مارس 34 القصور  مكتب 2,0,0,1,1,0,0,171,30,0,1,4,1,4,0,0,1,0,0,1,0,1,0,1,165,0,4,41,427.0
07040105303,م إبتدائية  2مارس 34 القصور  مكتب 3,0,0,1,1,0,0,97,39,0,0,5,0,2,0,0,1,0,0,0,0,0,0,3,114,0,1,44,308.0
07040105401,م إبتدائية النور القصور  مكتب 1,2,0,0,9,6,1,97,19,2,0,2,2,5,0,3,5,2,2,0,3,6,1,5,75,1,6,18,272.0
07040105402,م إبتدائية النور القصور  مكتب 2,0,2,0,2,0,0,98,18,1,0,1,0,1,1,0,0,1,0,1,0,3,0,2,73,0,4,19,227.0
07040105403,م إبتدائية النور القصور  مكتب 3,0,0,1,0,0,0,80,14,0,0,2,1,2,0,0,1,0,0,0,0,2,0,0,68,1,3,14,189.0
07040105404,م إبتدائية النور القصور  مكتب 4,1,0,1,0,0,0,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,6,74.0
07040105501,م إبتدائية الزهيلة - القصور  مكتب 1,0,1,0,1,2,5,43,6,0,1,2,3,1,0,2,3,1,1,0,1,0,0,0,35,0,1,19,128.0
07040205601,م إبتدائية قيراطة - عين القصيبة  مكتب 1,0,1,0,2,0,0,36,6,0,0,1,0,0,1,0,0,2,2,1,0,0,0,4,19,0,6,12,93.0
07040305701,م إبتدائية بانو  مكتب 1,0,4,0,4,3,1,88,6,0,0,2,2,5,1,1,1,3,0,2,0,1,2,4,48,0,8,14,200.0
07040305702,م إبتدائية بانو  مكتب 2,1,0,0,1,1,0,40,8,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,48,0,5,8,118.0
07040305801,م إبتدائية أولاد غانة - بانو  مكتب 1,0,1,0,2,0,2,69,9,0,0,1,1,2,1,0,1,1,1,1,0,2,1,1,18,1,16,17,148.0
07040305802,م إبتدائية أولاد غانة - بانو  مكتب 2,0,0,1,1,0,0,16,4,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,10,0,6,22,66.0
07040405901,م إبتدائية جوف اللواتة القصور  مكتب 1,1,0,2,4,1,1,106,6,0,1,1,0,4,0,2,1,1,1,1,1,3,1,8,30,0,7,18,201.0
07040506001,م إبتدائية عين فضيل  مكتب 1,0,0,0,2,1,0,36,6,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,15,0,6,2,71.0
07040506101,م إبتدائية الحمارنة - عين فضيل  مكتب 1,0,0,0,0,0,0,48,14,0,0,0,0,2,1,0,0,0,0,0,0,2,0,0,2,0,2,6,77.0
07040506201,م إبتدائية أولاد زيد - عين فضيل  مكتب 1,0,1,0,1,0,0,30,7,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,1,3,1,49.0
07040606301,م إبتدائية الزيتونة القصور  مكتب 1,0,0,1,1,2,2,103,12,1,1,2,0,3,2,0,0,0,1,0,0,4,1,18,38,0,24,22,238.0
07040606401,م إبتدائية العفسات - الزيتونة  مكتب 1,1,0,0,2,0,0,28,0,1,3,0,1,1,0,0,0,1,0,0,0,0,1,3,36,1,7,2,88.0
07040606501,م إبتدائية الكدية - الزيتونة  مكتب 1,0,0,0,1,0,1,20,4,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,2,0,11,9,54.0
07040606601,م إبتدائية أولاد بلغيث - الزيتونة  مكتب 1,0,0,1,0,1,0,25,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,3,0,6,4,46.0
مجموع أصوات القائمة,7,12,10,39,19,14,1447,255,6,9,32,14,44,7,9,16,16,12,10,9,31,7,59,912,7,132,333,3468,
