circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Nabeul1,HammamElGhezaz,11040105301,م إبتدائية حمام الغزاز   مكتب 1,1,0,1,4,3,0,184,18,0,1,2,0,3,2,2,2,2,1,0,1,6,0,1,100,0,12,39,385
Nabeul1,HammamElGhezaz,11040105302,م إبتدائية حمام الغزاز   مكتب 2,0,0,1,3,0,0,156,37,1,0,3,0,4,1,0,3,1,0,0,1,2,1,0,153,0,8,52,427
Nabeul1,HammamElGhezaz,11040105303,م إبتدائية حمام الغزاز   مكتب 3,1,0,2,1,0,0,141,33,0,1,3,0,6,0,0,4,0,0,2,0,2,0,1,155,2,12,36,402
Nabeul1,HammamElGhezaz,11040105304,م إبتدائية حمام الغزاز   مكتب 4,1,1,2,2,0,3,121,29,0,0,1,1,4,1,0,4,0,0,0,0,1,0,1,132,0,5,52,361
Nabeul1,HammamElGhezaz,11040105305,م إبتدائية حمام الغزاز   مكتب 5,0,0,13,3,0,2,92,27,0,0,4,0,2,0,0,3,0,0,0,0,0,0,2,106,0,11,101,366
Nabeul1,HammamElGhezaz,11040105401,م إبتدائية حمام الجبلي - حمام الغزاز  مكتب 1,0,0,0,0,0,3,118,21,0,0,2,1,3,0,0,2,0,0,0,0,1,0,3,11,1,5,20,191
Nabeul1,HammamElGhezaz,11040105501,م إبتدائية كركوان - حمام الغزاز  مكتب 1,0,0,2,2,0,4,113,10,0,1,1,0,6,0,0,1,0,2,0,0,7,0,0,19,1,5,23,197
Nabeul1,HammamElGhezaz,11040105601,م إبتدائية الامل - حمام الغزاز  مكتب 1,3,0,1,3,4,1,92,31,0,2,2,0,0,0,1,0,1,0,0,0,4,0,0,95,0,11,27,278
Nabeul1,HammamElGhezaz,11040105701,م إبتدائية  الانطلاقة - حمام الغزاز  مكتب 1,2,0,2,0,0,0,21,0,0,1,1,0,1,1,0,1,1,0,0,0,3,0,0,10,0,1,5,50
Nabeul1,HammamElGhezaz,11040205801,م إبتدائية دار علوش   مكتب 1,2,2,2,4,1,0,214,18,3,1,7,4,11,3,1,3,4,1,2,2,6,0,1,15,2,18,12,339
Nabeul1,HammamElGhezaz,11040205802,م إبتدائية دار علوش   مكتب 2,1,0,5,1,0,0,248,36,0,1,1,0,5,0,1,2,0,0,0,2,3,0,1,47,1,15,33,403
Nabeul1,HammamElGhezaz,11040205803,م إبتدائية دار علوش   مكتب 3,0,0,2,0,0,0,193,42,0,1,2,1,2,0,0,2,1,0,1,0,2,0,0,41,0,4,32,326
Nabeul1,HammamElGhezaz,11040205804,م إبتدائية دار علوش   مكتب 4,1,0,5,1,0,0,124,36,0,0,1,0,1,1,0,0,1,0,0,0,2,0,2,41,0,14,28,258
Nabeul1,HammamElGhezaz,11040305901,م إبتدائية دار دبوس الرياض - حارة الشعراء  مكتب 1,2,0,2,3,0,0,162,36,0,0,7,0,6,1,0,0,0,1,0,1,2,1,1,25,0,19,43,312
Nabeul1,HammamElGhezaz,11040306001,م إبتدائية حارة الشعراء   مكتب 1,1,0,2,2,0,1,135,32,0,4,6,0,4,0,2,0,3,0,0,0,6,1,5,27,0,16,24,271
Nabeul1,HammamElGhezaz,11040406101,م إبتدائية   14 جانفي - وزدرة  مكتب 1,0,0,1,2,1,0,89,18,0,1,1,0,5,0,0,1,0,1,0,0,1,0,2,31,0,9,35,198
