circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sfax1,BirAliBenKhelifa,23030104701,م إبتدائية  2مارس 34  بئر علي بن خليفة  مكتب 1,0,1,1,0,1,0,142,9,0,0,4,0,3,0,0,2,1,0,0,0,5,0,0,101,0,24,32,326
Sfax1,BirAliBenKhelifa,23030104702,م إبتدائية  2مارس 34  بئر علي بن خليفة  مكتب 2,0,0,2,0,0,1,88,5,1,0,2,1,0,0,0,1,2,0,0,0,0,0,0,139,0,17,66,325
Sfax1,BirAliBenKhelifa,23030104703,م إبتدائية  2مارس 34  بئر علي بن خليفة  مكتب 3,1,0,0,0,0,0,57,10,1,0,3,0,0,1,0,3,0,0,0,0,1,0,0,134,0,18,44,273
Sfax1,BirAliBenKhelifa,23030104704,م إبتدائية  2مارس 34  بئر علي بن خليفة  مكتب 4,0,0,1,0,0,0,49,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,118,0,26,44,251
Sfax1,BirAliBenKhelifa,23030104801,م إبتدائية عرفات - بئر علي بن خليفة  مكتب 1,0,0,0,0,4,5,97,6,0,0,2,0,2,4,1,1,1,1,0,0,4,0,0,123,0,38,36,325
Sfax1,BirAliBenKhelifa,23030104802,م إبتدائية عرفات - بئر علي بن خليفة  مكتب 2,1,0,0,0,0,0,54,9,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,122,0,18,27,234
Sfax1,BirAliBenKhelifa,23030104901,م إبتدائية حي المستقبل - بئر علي بن خليفة  مكتب 1,0,0,1,1,0,0,81,14,0,2,4,0,2,0,0,3,1,0,0,0,0,0,0,137,0,22,55,323
Sfax1,BirAliBenKhelifa,23030205001,م إبتدائية سيدي الظاهر 1 - سيدي ظاهر  مكتب 1,2,1,0,2,4,5,62,7,1,0,6,0,3,1,0,2,2,1,0,0,0,1,0,37,1,33,57,228
Sfax1,BirAliBenKhelifa,23030205101,م إبتدائية الربائعة - سيدي ظاهر  مكتب 1,0,0,1,1,2,0,73,22,4,0,5,1,5,1,1,1,2,0,0,1,3,0,0,89,1,35,21,269
Sfax1,BirAliBenKhelifa,23030205201,م إبتدائية الحواشين - سيدي ظاهر  مكتب 1,0,1,0,1,2,2,41,2,0,0,4,0,1,0,0,1,0,1,0,0,2,0,0,47,0,23,5,133
Sfax1,BirAliBenKhelifa,23030205301,م إبتدائية السودان سيدي الظاهر  مكتب 1,1,0,0,0,0,1,34,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,14,6,62
Sfax1,BirAliBenKhelifa,23030205401,م إبتدائية سيدي الظاهر 2  مكتب 1,0,0,0,0,2,1,35,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,32,0,23,49,147
Sfax1,BirAliBenKhelifa,23030205501,م إبتدائية الربائعة2 - سيدي ظاهر  مكتب 1,1,0,0,1,0,0,24,1,1,0,1,0,0,1,0,2,0,1,0,0,1,0,0,19,0,6,19,78
Sfax1,BirAliBenKhelifa,23030305601,م إبتدائية اللطائفة - سيدي علي بالعابد  مكتب 1,0,0,1,0,0,5,101,9,1,0,4,1,0,0,0,7,0,0,0,0,2,0,0,254,0,25,9,419
Sfax1,BirAliBenKhelifa,23030305701,م إبتدائية رأس فرطوط - سيدي علي بالعابد  مكتب 1,0,0,1,1,3,1,79,2,1,0,3,3,4,0,1,3,2,0,0,0,2,1,0,123,0,67,5,302
Sfax1,BirAliBenKhelifa,23030305702,م إبتدائية رأس فرطوط - سيدي علي بالعابد  مكتب 2,0,0,2,2,2,0,22,4,1,0,1,0,0,0,0,2,0,0,0,0,2,1,0,182,1,45,9,276
Sfax1,BirAliBenKhelifa,23030305801,م إبتدائية سيدي علي بلعابد  مكتب 1,1,1,0,2,0,1,12,1,1,0,0,0,0,0,0,1,0,0,0,1,3,1,0,87,1,27,11,151
Sfax1,BirAliBenKhelifa,23030405901,م إبتدائية بوسليم   مكتب 1,1,0,0,0,1,1,44,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,25,1,8,9,95
Sfax1,BirAliBenKhelifa,23030506001,م إبتدائية سيدي منصور السويسي - الأبراج  مكتب 1,0,0,0,1,1,0,106,3,1,1,2,0,1,0,1,5,1,0,0,0,0,0,0,49,0,19,19,210
Sfax1,BirAliBenKhelifa,23030506101,م إبتدائية الخروع - الأبراج  مكتب 1,1,0,0,1,1,0,27,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,24,0,18,7,85
Sfax1,BirAliBenKhelifa,23030506201,م إبتدائية الطرفاوي - الأبراج  مكتب 1,1,0,0,2,3,1,55,2,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,22,0,23,3,117
Sfax1,BirAliBenKhelifa,23030506301,م إبتدائية المندرة - الأبراج  مكتب 1,0,1,2,1,0,0,58,2,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,39,1,4,4,118
Sfax1,BirAliBenKhelifa,23030606401,م إبتدائية السوينية - السديرات الجنوبية  مكتب 1,1,0,0,0,2,0,59,3,0,0,3,0,3,0,0,0,0,1,0,1,0,0,0,142,0,18,3,236
Sfax1,BirAliBenKhelifa,23030606501,م إبتدائية الطلاب - السديرات الجنوبية  مكتب 1,0,0,0,0,1,3,17,5,0,0,2,0,1,0,2,3,0,0,1,0,0,0,0,178,0,21,0,234
Sfax1,BirAliBenKhelifa,23030706601,م إبتدائية أم الشوشة - السديرات الشمالية  مكتب 1,0,0,0,2,2,0,70,7,3,0,3,0,4,1,0,8,2,0,0,0,6,0,1,63,1,17,7,197
Sfax1,BirAliBenKhelifa,23030706602,م إبتدائية أم الشوشة - السديرات الشمالية  مكتب 2,0,0,0,0,0,0,24,5,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,87,0,5,11,138
Sfax1,BirAliBenKhelifa,23030706701,م إبتدائية العوايد - السديرات الشمالية  مكتب 1,0,0,1,0,1,1,27,3,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,141,0,14,4,199
