circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sidi_Bouzid,BenOun,16110127101,م إبتدائية بنعون - سيدي علي بن عون  مكتب 1,2,0,1,2,0,2,134,4,5,0,3,2,4,3,1,1,1,0,0,0,3,1,0,33,3,159,7,371
Sidi_Bouzid,BenOun,16110127102,م إبتدائية بنعون - سيدي علي بن عون  مكتب 2,1,0,1,3,1,5,99,0,3,0,1,0,0,0,0,2,0,2,0,0,2,0,3,54,0,199,13,389
Sidi_Bouzid,BenOun,16110127103,م إبتدائية بنعون - سيدي علي بن عون  مكتب 3,0,0,0,2,2,1,77,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,63,0,199,8,355
Sidi_Bouzid,BenOun,16110127104,م إبتدائية بنعون - سيدي علي بن عون  مكتب 4,1,0,0,0,0,1,42,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,48,1,148,15,262
Sidi_Bouzid,BenOun,16110127105,م إبتدائية بنعون - سيدي علي بن عون  مكتب 5,0,0,0,1,0,0,55,7,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,35,1,114,10,229
Sidi_Bouzid,BenOun,16110127201,م إبتدائية الخليج - سيدي علي بن عون  مكتب 1,0,0,0,1,0,1,23,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,1,67,1,104
Sidi_Bouzid,BenOun,16110127301,م إبتدائية الونائسية - سيدي علي بن عون  مكتب 1,0,1,0,0,3,1,32,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,124,3,170
Sidi_Bouzid,BenOun,16110127401,م إبتدائية ابن شرف - سيدي علي بن عون  مكتب 1,1,0,1,1,1,10,84,1,6,0,5,1,4,0,0,0,1,2,0,0,1,0,1,19,3,259,4,405
Sidi_Bouzid,BenOun,16110127402,م إبتدائية ابن شرف - سيدي علي بن عون  مكتب 2,0,0,0,0,0,1,47,7,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,41,0,205,8,312
Sidi_Bouzid,BenOun,16110127501,م إبتدائية بن عون 2 - سيدي علي بن عون  مكتب 1,0,0,1,1,0,3,63,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,10,0,113,4,199
Sidi_Bouzid,BenOun,16110227601,م إبتدائية الدمدوم - الرابطة  مكتب 1,0,0,0,1,0,2,70,0,2,0,2,0,2,0,1,1,0,0,0,0,1,0,0,2,1,42,0,127
Sidi_Bouzid,BenOun,16110227701,م إبتدائية أولاد ناجي - الرابطة  مكتب 1,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,118,1,145
Sidi_Bouzid,BenOun,16110227801,م إبتدائية  2مارس 34 بنعون - الرابطة  مكتب 1,0,0,1,0,0,6,40,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,6,0,138,4,200
Sidi_Bouzid,BenOun,16110227802,م إبتدائية  2مارس 34 بنعون - الرابطة  مكتب 2,0,0,0,0,0,1,22,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,92,1,123
Sidi_Bouzid,BenOun,16110227901,م إبتدائية بئر ادريس - الرابطة  مكتب 1,0,0,0,1,0,1,45,5,1,0,1,1,0,0,0,0,2,1,0,0,2,0,1,12,0,94,4,171
Sidi_Bouzid,BenOun,16110228001,م إبتدائية القراوة بن عون - الرابطة  مكتب 1,1,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,36,1,41,1,88
