circonscription,delegation,#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
Sidi_Bouzid,CebbalaAouledAskar,16070117101,م إبتدائية السبالة   مكتب 1,0,0,2,3,3,4,74,3,1,1,2,0,3,0,2,5,0,1,1,1,2,0,8,80,2,111,16,325
Sidi_Bouzid,CebbalaAouledAskar,16070117102,م إبتدائية السبالة   مكتب 2,0,0,1,0,0,4,41,2,1,0,1,0,3,0,0,2,2,0,0,0,0,1,7,96,0,137,18,316
Sidi_Bouzid,CebbalaAouledAskar,16070117103,م إبتدائية السبالة   مكتب 3,0,0,0,1,0,1,36,6,2,1,0,0,2,0,0,0,0,0,0,0,1,0,2,53,0,102,16,223
Sidi_Bouzid,CebbalaAouledAskar,16070117104,م إبتدائية السبالة   مكتب 4,0,0,1,1,0,0,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1,60,20,161
Sidi_Bouzid,CebbalaAouledAskar,16070117201,م إبتدائية السد - السبالة  مكتب 1,0,0,0,2,3,1,10,1,0,2,0,1,0,1,2,1,2,0,0,1,0,0,2,59,0,68,13,169
Sidi_Bouzid,CebbalaAouledAskar,16070117301,م إبتدائية عبدالرحمان بن خلدون - السبالة  مكتب 1,1,0,0,1,1,3,56,5,0,0,5,0,0,1,0,0,1,0,1,0,1,0,6,73,0,101,30,286
Sidi_Bouzid,CebbalaAouledAskar,16070217401,م إبتدائية البريج - العامرة  مكتب 1,1,1,0,0,3,5,44,4,1,1,0,0,1,0,2,0,1,0,0,1,0,0,0,24,0,63,2,154
Sidi_Bouzid,CebbalaAouledAskar,16070217402,م إبتدائية البريج - العامرة  مكتب 2,0,0,0,0,0,0,16,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,44,2,81
Sidi_Bouzid,CebbalaAouledAskar,16070217501,م إبتدائية الشارع - العامرة  مكتب 1,1,1,2,1,0,3,57,2,3,1,0,0,1,2,0,0,1,0,1,0,0,3,3,50,0,115,7,254
Sidi_Bouzid,CebbalaAouledAskar,16070217601,م إبتدائية العامرة  مكتب 1,0,0,0,0,3,4,58,2,1,0,2,0,0,1,0,0,2,1,1,1,2,0,4,28,2,96,12,220
Sidi_Bouzid,CebbalaAouledAskar,16070217602,م إبتدائية العامرة  مكتب 2,0,0,1,0,1,1,46,26,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,15,0,61,6,161
Sidi_Bouzid,CebbalaAouledAskar,16070217701,م إبتدائية القرعة الصغرى - العامرة  مكتب 1,4,0,1,2,1,3,30,3,4,0,0,0,1,1,0,0,2,1,1,0,0,0,1,37,0,77,13,182
Sidi_Bouzid,CebbalaAouledAskar,16070217702,م إبتدائية القرعة الصغرى - العامرة  مكتب 2,0,0,0,0,0,0,16,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,20,0,60,13,115
Sidi_Bouzid,CebbalaAouledAskar,16070317801,م إبتدائية 2 مارس 34 السبالة - السد  مكتب 1,0,1,0,3,5,13,65,7,4,3,2,1,1,4,1,2,2,1,0,2,3,0,0,41,1,117,5,284
Sidi_Bouzid,CebbalaAouledAskar,16070317802,م إبتدائية 2 مارس 34 السبالة - السد  مكتب 2,0,0,0,0,0,2,37,10,0,0,1,0,0,0,0,1,1,0,1,6,1,0,1,38,0,101,6,206
Sidi_Bouzid,CebbalaAouledAskar,16070317901,م إبتدائية الخشوم - السد  مكتب 1,1,0,0,0,0,4,41,4,1,0,1,0,0,0,0,0,1,0,1,1,2,0,0,10,0,58,1,126
