#,مكتب,العربي  نصرة,عبد الرحيم  الزواري,كلثوم  كنو,كمال   مرجان,سالم   الشايبي,عبد الرزاق  الكيلاني,محمد الباجي القايد السبسي,سليم  الرياحي,عبد القادر اللباوي,مصطفى كامل  النابلي,أحمد الصافي السعيد,ياسين   الشنوفي,أحمد نجيب   الشابي,حمودة  بن سلامة,علي المولدي الشورابي,محمد  فريخة,محمد الحامدي,المختار  الماجري,عبد الرؤوف العيادي,محرز بوصيان,مصطفى  بن جعفر,نور الدين حشاد,محمد المنذر الزنايدي,محمد المنصف المرزوقي,سمير العبدلي,محمد الهاشمي الحامدي,حمة  الهمامي,مجموع الأصوات حسب المكتب
20120112501,م إبتدائية سيدي الهاني - سيدي الهاني المركزية  مكتب 1,0,2,0,1,0,1,191,1,1,0,4,0,5,1,0,1,0,0,2,0,6,0,3,55,0,14,8,296.0
20120112502,م إبتدائية سيدي الهاني - سيدي الهاني المركزية  مكتب 2,0,0,1,6,0,0,148,2,0,2,5,0,3,1,2,0,0,0,0,0,5,0,1,81,0,16,6,279.0
20120112503,م إبتدائية سيدي الهاني - سيدي الهاني المركزية  مكتب 3,1,0,0,10,0,0,106,4,1,1,6,0,2,0,0,0,0,0,0,0,0,1,1,73,0,10,8,224.0
20120212601,م إبتدائية أولاد الحشين - سيدي الهاني الغربية  مكتب 1,4,0,1,0,1,2,88,3,1,1,0,0,1,0,1,1,1,0,0,0,7,0,0,15,0,5,8,140.0
20120212701,م إبتدائية المويسات سيدي الهاني - سيدي الهاني الغربية  مكتب 1,0,1,0,5,0,2,127,3,0,2,6,0,8,0,0,0,1,1,1,0,8,0,0,42,0,10,2,219.0
20120212801,م إبتدائية أولاد الصغير سيدي الهاني - سيدي الهاني الغربية  مكتب 1,3,1,1,4,0,2,70,3,1,0,1,1,3,0,0,2,1,0,0,0,1,0,1,12,0,7,3,117.0
20120312901,م إبتدائية غبغوب سيدي الهاني - سيدي الهاني الجنوبية  مكتب 1,0,1,0,2,0,1,38,0,0,0,3,0,0,0,3,1,0,0,1,0,3,0,2,32,0,12,2,101.0
20120313001,م إبتدائية أولاد بوبكر سيدي الهاني - سيدي الهاني الجنوبية  مكتب 1,3,0,0,13,0,1,131,2,2,0,5,0,5,0,2,2,0,0,0,0,1,1,2,78,0,7,6,261.0
20120413101,م إبتدائية أولاد علي بلهاني سيدي الهاني  مكتب 1,1,0,0,6,0,1,131,2,0,1,1,0,6,1,0,0,0,1,0,0,4,1,0,46,1,10,0,213.0
20120513201,م إبتدائية الشراشير سيدي الهاني - كروسية الغربية  مكتب 1,0,0,0,5,2,2,96,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0,2,58,0,25,4,199.0
20120513301,م إبتدائية كروسية الشرقية سيدي الهاني - كروسية الغربية  مكتب 1,0,0,0,7,0,0,70,2,0,4,2,0,1,1,0,0,0,0,0,0,3,0,1,22,1,4,1,119.0
20120613401,م إبتدائية كروسية سيدي الهاني - كروسية المركزية  مكتب 1,1,1,2,12,0,0,92,10,2,1,3,1,5,1,1,1,0,0,0,1,4,1,0,76,2,2,8,227.0
20120613402,م إبتدائية كروسية سيدي الهاني - كروسية المركزية  مكتب 2,0,0,2,13,0,0,67,8,0,2,2,0,1,0,0,0,0,0,0,0,1,0,2,66,0,2,6,172.0
20120613501,م إبتدائية العزيب - كروسية المركزية  مكتب 1,2,0,2,8,0,0,41,0,2,1,2,0,1,0,1,1,0,0,0,0,0,0,1,34,0,3,4,103.0
مجموع أصوات القائمة,15,6,9,92,3,12,1396,40,10,15,41,2,41,5,11,9,3,2,5,1,45,4,16,690,4,127,66,2670,
